ingredient_name,image_url
orange,/images/ingredient/ingredient_1.png
cherry-tomato,/images/ingredient/ingredient_2.png
pork,/images/ingredient/ingredient_3.png
carrot,/images/ingredient/ingredient_4.png
apple,/images/ingredient/ingredient_5.png
onion,/images/ingredient/ingredient_6.png
blueberry,/images/ingredient/ingredient_7.png
pumpkin,/images/ingredient/ingredient_8.png
egg,/images/ingredient/ingredient_9.png
chicken,/images/ingredient/ingredient_10.png
beef,/images/ingredient/ingredient_11.png
fish,/images/ingredient/ingredient_12.png
milk,/images/ingredient/ingredient_13.png
duck,/images/ingredient/ingredient_14.png
clam,/images/ingredient/ingredient_15.png
eggplant,/images/ingredient/ingredient_16.png
lamb,/images/ingredient/ingredient_17.png
bell-pepper,/images/ingredient/ingredient_18.png
cilantro,/images/ingredient/ingredient_19.png
cheese,/images/ingredient/ingredient_20.png
garlic,/images/ingredient/ingredient_21.png
green-onion,/images/ingredient/ingredient_22.png
